Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,24,1917,0.9509525895118713,IPR004100,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",3.924301862716675,1.2917966842651367,2.632505178451538,1.6030458211898804,3.2833533899253708e-15
2pkea,24,1917,0.9646725058555603,IPR004160,"Translation elongation factor EFTu/EF1A, C-terminal",4.367648601531982,1.2967993021011353,3.0708494186401367,1.7518904209136963,0.0007929373532533646
2pkea,24,1917,0.9565025568008423,IPR004161,"Translation elongation factor EFTu-like, domain 2",4.065508842468262,1.2870451211929321,2.778463840484619,1.6593620777130127,4.7485766179704685e-24
2pkea,24,1917,0.9650475382804871,IPR005225,Small GTP-binding domain,4.319359302520752,1.263208031654358,3.0561513900756836,1.7737135887145996,0.0
2pkea,24,1917,0.9685606956481934,IPR006073,GTP binding domain,4.550825595855713,1.2820605039596558,3.2687649726867676,1.8276526927947998,9.518890694540685e-30
2pkea,24,1917,0.9508091807365417,IPR019489,"Clp ATPase, C-terminal",3.9510176181793213,1.297284722328186,2.6537327766418457,1.6067179441452026,0.0009302226244471967
2pkea,24,1917,0.9646725058555603,IPR033720,"Elongation factor Tu, domain 2",4.367648601531982,1.2967993021011353,3.0708494186401367,1.7518904209136963,0.0007929373532533646
2pkea,24,1917,0.9509949088096619,IPR033732,"ATP synthase, F1 complex, alpha subunit nucleotide-binding domain",3.944751024246216,1.2959697246551514,2.6487812995910645,1.6058911085128784,1.6536213252038579e-06
2pkea,24,1917,0.9646725058555603,IPR041709,"Elongation factor Tu (EF-Tu), GTP-binding domain",4.367648601531982,1.2967993021011353,3.0708494186401367,1.7518904209136963,0.0007929373532533646
2pkea,24,1917,0.953171968460083,IPR001057,Glutamate/acetylglutamate kinase,4.091634273529053,1.2978568077087402,2.7937774658203125,1.6565349102020264,0.03364776074886322
2pkea,24,1917,0.9663993716239929,IPR001806,Small GTPase,4.56195068359375,1.2971030473709106,3.264847755432129,1.8143465518951416,0.009961442090570927
2pkea,24,1917,0.9646725058555603,IPR004541,"Translation elongation factor EFTu/EF1A, bacterial/organelle",4.367648601531982,1.2967993021011353,3.0708494186401367,1.7518904209136963,0.0007929373532533646
2pkea,24,1917,0.9509949088096619,IPR005294,"ATP synthase, F1 complex, alpha subunit",3.944751024246216,1.2959697246551514,2.6487812995910645,1.6058911085128784,1.6536213252038579e-06
2pkea,24,1917,0.9775597453117371,IPR013126,Heat shock protein 70 family,5.028193473815918,1.294111728668213,3.734081745147705,1.9580668210983276,7.071309369166556e-07
2pkea,24,1917,0.9646725058555603,IPR050055,Elongation factor Tu GTPase,4.367648601531982,1.2967993021011353,3.0708494186401367,1.7518904209136963,0.0007929373532533646
2pkea,24,1917,0.96462082862854,IPR009001,"Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal",4.366147041320801,1.295263648033142,3.070883274078369,1.7531038522720337,9.81473249339615e-07
2pkea,24,1917,0.9908128976821899,IPR017850,"Alkaline-phosphatase-like, core domain superfamily",6.753357410430908,1.294137954711914,5.459219455718994,2.3836023807525635,0.004329402931034565
2pkea,24,1917,0.9880170822143555,IPR023214,HAD superfamily,6.927570343017578,1.288793683052063,5.638776779174805,2.426316976547241,9.37271238399262e-09
2pkea,24,1917,0.968046247959137,IPR029044,Nucleotide-diphospho-sugar transferases,6.043179512023926,1.27850341796875,4.764676094055176,2.240840435028076,1.0373303178046464e-22
2pkea,24,1917,0.9778964519500732,IPR029047,"Heat shock protein 70kD, peptide-binding domain superfamily",5.050322532653809,1.294439435005188,3.75588321685791,1.9640369415283203,2.785402557492489e-06
